[3/2/2026 2:22:06 AM] Autoguard Normal Values - P1: 0x01, P2: 0x01
[3/2/2026 2:25:41 AM] Autoguard Normal Values - P1: 0x01, P2: 0x01
[3/2/2026 2:26:35 AM] Autoguard Normal Values - P1: 0x55, P2: 0x55
[3/2/2026 2:26:54 AM] Autoguard Normal Values - P1: 0x00, P2: 0x00
[3/2/2026 2:30:34 AM] Autoguard Normal Values - P1: 0x01, P2: 0x01
[3/2/2026 2:43:39 AM] Autoguard Normal Values - P1: 0x01, P2: 0x01
[3/2/2026 3:12:35 AM] Autoguard Normal Word Values - P1: 0x0C01, P2: 0x0001
[3/2/2026 3:13:06 AM] Autoguard Normal Word Values - P1: 0x0001, P2: 0x0001
[3/2/2026 3:17:46 AM] Autoguard Normal Word Values - P1: 0x0001, P2: 0x0001
[3/2/2026 3:18:43 AM] Autoguard Normal Word Values - P1: 0x0001, P2: 0x0001
[3/2/2026 3:20:17 AM] Autoguard Normal Word Values - P1: 0x0001, P2: 0x0001
[2/3/2026 10:37:16] Autoguard Normal Word Values - P1: 0x0001, P2: 0x0001
[2/3/2026 11:09:51] Autoguard Normal Word Values - P1: 0x0001, P2: 0x0001
