P1 Act Code: 98 | Blockstun: 48 frames | Guard Hold Cooldown: 34 frames
P1 Act Code: 98 | Blockstun: 28 frames | Guard Hold Cooldown: 43 frames
P1 Act Code: 98 | Blockstun: 48 frames | Guard Hold Cooldown: 34 frames
P1 Act Code: 154 | Blockstun: 28 frames | Guard Hold Cooldown: 29 frames
P1 Act Code: 154 | Blockstun: 28 frames | Guard Hold Cooldown: 84 frames
P1 Act Code: 99 | Blockstun: 28 frames | Guard Hold Cooldown: 33 frames
P1 Act Code: 107 | Blockstun: 28 frames | Guard Hold Cooldown: 30 frames
P1 Act Code: 181 | Blockstun: 28 frames | Guard Hold Cooldown: 40 frames
P1 Act Code: 238 | Blockstun: 49 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 115 | Blockstun: 13 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 161 | Blockstun: 73 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 140 | Blockstun: 69 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 151 | Blockstun: 79 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 161 | Blockstun: 72 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 161 | Blockstun: 72 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 148 | Blockstun: 89 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 161 | Blockstun: 69 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 123 | Blockstun: 20 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 161 | Blockstun: 72 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 176 | Blockstun: 80 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 238 | Blockstun: 50 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 88 | Blockstun: 20 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 88 | Blockstun: 20 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 121 | Blockstun: 20 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 98 | Blockstun: 28 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 168 | Blockstun: 53 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 94 | Blockstun: 20 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 121 | Blockstun: 48 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 81 | Blockstun: 20 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 237 | Blockstun: 33 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 98 | Blockstun: 28 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 238 | Blockstun: 49 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 99 | Blockstun: 28 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 238 | Blockstun: 47 frames | Guard Hold Cooldown: 0 frames
P1 Act Code: 168 | Blockstun: 2 frames | Guard Hold Cooldown: 0 frames
